,Column,Code,Label,English_Text,Target,English_Instructions,Class,Other For
0,SEQN,,,Respondent sequence number.,Both males and females 6 YEARS - 150 YEARS,nan,,
1,URXUHG,0.06 To 25.48,Range Of Values,Urinary Mercury,Both males and females 6 YEARS - 150 YEARS,nan,,
2,URXUHG,.,Missing,Urinary Mercury,Both males and females 6 YEARS - 150 YEARS,nan,,
3,URDUHGLC,0,At Or Above The Detection Limit,Urinary mercury comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
4,URDUHGLC,1,Below Lower Detection Limit,Urinary mercury comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
5,URDUHGLC,.,Missing,Urinary mercury comment code,Both males and females 6 YEARS - 150 YEARS,nan,,
6,URXUCR,7 To 534,Range Of Values,Creatinine urine (mg/dL),Both males and females 6 YEARS - 150 YEARS,nan,,
7,URXUCR,.,Missing,Creatinine urine (mg/dL),Both males and females 6 YEARS - 150 YEARS,nan,,
8,WTSA2YR,0 To 412940.77909,Range Of Values,Environmental A 2 year weights,Both males and females 6 YEARS - 150 YEARS,nan,,
9,WTSA2YR,.,Missing,Environmental A 2 year weights,Both males and females 6 YEARS - 150 YEARS,nan,,
