,Column,Code,Label,Class,Other For
0,SEQN,,,,
1,WTDRD1,1974.178694 To 454277.71731,Range Of Values,,
2,WTDRD1,0,Day 1 Dietary Recall Not Done/Incomplete,,
3,WTDRD1,.,Missing,,
4,WTDR2D,1663.514111 To 579148.95623,Range Of Values,,
5,WTDR2D,0,Day 2 Dietary Recall Not Done/Incomplete,,
6,WTDR2D,.,Missing,,
7,DR1ILINE,1 To 46,Range Of Values,,
8,DR1ILINE,.,Missing,,
9,DR1DRSTZ,2,Not Reliable Or Not Met The Minimum Criteria,,
10,DR1DRSTZ,4,Reported Consuming Breast-Milk,,
11,DR1DRSTZ,5,Not Done,,
12,DR1DRSTZ,.,Missing,,
13,DR1DRSTZ,1,Reliable And Met The Minimum Criteria,,
14,DR1EXMER,14 To 91,Range Of Values,,
15,DR1EXMER,.,Missing,,
16,DRABF,1,Yes,,
17,DRABF,2,No,,
18,DRABF,.,Missing,,
19,DRDINT,1,Day 1 Only,,
20,DRDINT,2,Day 1 And Day 2,,
21,DRDINT,.,Missing,,
22,DR1DBIH,-32 To 70,Range Of Values,,
23,DR1DBIH,.,Missing,,
24,DR1DAY,1,Sunday,,
25,DR1DAY,2,Monday,,
26,DR1DAY,3,Tuesday,,
27,DR1DAY,4,Wednesday,,
28,DR1DAY,5,Thursday,,
29,DR1DAY,6,Friday,,
30,DR1DAY,7,Saturday,,
31,DR1DAY,.,Missing,,
32,DR1LANG,1,English,,
33,DR1LANG,2,Spanish,,
34,DR1LANG,3,English And Spanish,,
35,DR1LANG,4,Other,,
36,DR1LANG,5,Asian Languages,,
37,DR1LANG,6,Asian Languages And English,,
38,DR1LANG,.,Missing,,
39,DR1CCMNM,0 To 11,Range Of Values,,
40,DR1CCMNM,.,Missing,,
41,DR1CCMTX,0,Non-Combination Food,,
42,DR1CCMTX,1,Beverage W/ Additions,,
43,DR1CCMTX,2,Cereal W/ Additions,,
44,DR1CCMTX,3,Bread/Baked Products W/ Additions,,
45,DR1CCMTX,4,Salad,,
46,DR1CCMTX,5,Sandwiches,,
47,DR1CCMTX,6,Soup,,
48,DR1CCMTX,7,Frozen Meals,,
49,DR1CCMTX,8,Ice Cream/Frozen Yogurt W/ Additions,,
50,DR1CCMTX,9,Dried Beans And Vegetable W/ Additions,,
51,DR1CCMTX,10,Fruit W/ Additions,,
52,DR1CCMTX,11,Tortilla Products,,
53,DR1CCMTX,12,"Meat, Poultry, Fish",,
54,DR1CCMTX,13,Lunchablesâ®,,
55,DR1CCMTX,14,Chips W/ Additions,,
56,DR1CCMTX,90,Other Mixtures,,
57,DR1CCMTX,.,Missing,,
